Solicitud de Certificados 003 - Formulario de No Ciudadano Argentino,,
Año,Mes,Cantidad de solicitudes
1997,Ene.,190
1997,Feb.,774
1997,Mar.,955
1997,Abr.,1021
1997,May.,944
1997,Jun.,793
1997,Jul.,993
1997,Ago.,888
1997,Sep.,961
1997,Oct.,835
1997,Nov.,823
1997,Dic.,787
1998,Ene.,601
1998,Feb.,782
1998,Mar.,1028
1998,Abr.,867
1998,May.,865
1998,Jun.,848
1998,Jul.,886
1998,Ago.,893
1998,Sep.,893
1998,Oct.,823
1998,Nov.,782
1998,Dic.,694
1999,Ene.,568
1999,Feb.,890
1999,Mar.,1058
1999,Abr.,859
1999,May.,880
1999,Jun.,976
1999,Jul.,1045
1999,Ago.,1162
1999,Sep.,1099
1999,Oct.,1157
1999,Nov.,1321
1999,Dic.,996
2000,Ene.,891
2000,Feb.,1075
2000,Mar.,1314
2000,Abr.,1261
2000,May.,1375
2000,Jun.,1460
2000,Jul.,2011
2000,Ago.,2767
2000,Sep.,2742
2000,Oct.,2597
2000,Nov.,2945
2000,Dic.,2520
2001,Ene.,2079
2001,Feb.,2160
2001,Mar.,2435
2001,Abr.,2432
2001,May.,2519
2001,Jun.,2710
2001,Jul.,2847
2001,Ago.,3104
2001,Sep.,2379
2001,Oct.,2281
2001,Nov.,2020
2001,Dic.,1617
2002,Ene.,2604
2002,Feb.,3382
2002,Mar.,4112
2002,Abr.,4185
2002,May.,4140
2002,Jun.,3109
2002,Jul.,3597
2002,Ago.,3478
2002,Sep.,3012
2002,Oct.,3324
2002,Nov.,2608
2002,Dic.,2077
2003,Ene.,1994
2003,Feb.,2158
2003,Mar.,2548
2003,Abr.,2587
2003,May.,2622
2003,Jun.,2461
2003,Jul.,2734
2003,Ago.,2092
2003,Sep.,2131
2003,Oct.,2198
2003,Nov.,1694
2003,Dic.,1674
2004,Ene.,1508
2004,Feb.,1739
2004,Mar.,2129
2004,Abr.,1454
2004,May.,1758
2004,Jun.,1660
2004,Jul.,1762
2004,Ago.,1681
2004,Sep.,1756
2004,Oct.,1381
2004,Nov.,1542
2004,Dic.,1250
2005,Ene.,972
2005,Feb.,1238
2005,Mar.,1455
2005,Abr.,1560
2005,May.,1523
2005,Jun.,1366
2005,Jul.,1295
2005,Ago.,1401
2005,Sep.,1475
2005,Oct.,1270
2005,Nov.,1331
2005,Dic.,999
2006,Ene.,770
2006,Feb.,980
2006,Mar.,1284
2006,Abr.,1027
2006,May.,1253
2006,Jun.,1104
2006,Jul.,1198
2006,Ago.,1305
2006,Sep.,1169
2006,Oct.,1107
2006,Nov.,1175
2006,Dic.,861
2007,Ene.,783
2007,Feb.,898
2007,Mar.,1159
2007,Abr.,1104
2007,May.,1159
2007,Jun.,1095
2007,Jul.,1301
2007,Ago.,1380
2007,Sep.,1351
2007,Oct.,1368
2007,Nov.,1465
2007,Dic.,1112
2008,Ene.,1234
2008,Feb.,1510
2008,Mar.,1482
2008,Abr.,1885
2008,May.,1950
2008,Jun.,1662
2008,Jul.,1879
2008,Ago.,1580
2008,Sep.,1916
2008,Oct.,1912
2008,Nov.,1720
2008,Dic.,1454
2009,Ene.,1465
2009,Feb.,1559
2009,Mar.,1901
2009,Abr.,1803
2009,May.,1533
2009,Jun.,1878
2009,Jul.,968
2009,Ago.,2641
2009,Sep.,2710
2009,Oct.,2317
2009,Nov.,2457
2009,Dic.,1853
2010,Ene.,1737
2010,Feb.,1996
2010,Mar.,2286
2010,Abr.,2032
2010,May.,2342
2010,Jun.,1653
2010,Jul.,1417
2010,Ago.,1839
