Sexo;Grupo quinquenal de edad;País de nacimiento;Nacionalidad;País de origen;Periodo;Total
Ambos sexos;Total;País de origen;Total;Argentina;2021;30.301
Ambos sexos;Total;País de origen;Total;Argentina;2020;17.708
Ambos sexos;Total;País de origen;Total;Argentina;2019;28.222
Ambos sexos;Total;País de origen;Total;Argentina;2018;17.160
Ambos sexos;Total;País de origen;Total;Argentina;2017;13.295
Ambos sexos;Total;País de origen;Total;Argentina;2016;9.367
Ambos sexos;Total;País de origen;Total;Argentina;2015;7.512
Ambos sexos;Total;País de origen;Total;Argentina;2014;5.950
Ambos sexos;Total;País de origen;Total;Argentina;2013;5.060
Ambos sexos;Total;País de origen;Total;Argentina;2012;4.838
Ambos sexos;Total;País de origen;Total;Argentina;2011;6.653
Ambos sexos;Total;País de origen;Total;Argentina;2010;7.517
Ambos sexos;Total;País de origen;Total;Argentina;2009;8.806
Ambos sexos;Total;País de origen;Total;Argentina;2008;16.726
