"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant Country of citizenship","MOTIVOPS1","Reason","TIME","Select time","Value","Flag Codes","Flags"
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2008","2008",1,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2009","2009",3,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2010","2010",2,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2011","2011",3,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2012","2012",3,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2013","2013",2,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2014","2014",5,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2015","2015",1,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2016","2016",1,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2017","2017",4,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2018","2018",2,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2019","2019",2,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2020","2020",1,,
"ITE45","Frosinone","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2022","2022",4,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2007","2007",3,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2008","2008",4,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2009","2009",9,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2010","2010",8,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2011","2011",6,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2012","2012",2,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2013","2013",3,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2014","2014",2,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2015","2015",1,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2016","2016",3,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2017","2017",3,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2018","2018",2,,
